Date,BCOLOMBIA.CL,CEMARGOS.CL,CONCONCRET.CL,CORFICOLCF.CL,ENKA.CL,ETB.CL,EXITO.CL,GRUPOAVAL.CL,GRUPOSURA.CL,HCOLSEL.CL,ICOLCAP.CL,MINEROS.CL,NUTRESA.CL,PFAVAL.CL,PFBCOLOM.CL,PFCORFICOL.CL,PFDAVVNDA.CL,PFGRUPOARG.CL,PFGRUPSURA.CL,TERPEL.CL,AMZN,BAC,C,CENCOSUD.SN,CSPX.L,F,GOOGL,ISAC.CL,IUFS.CL,IUIT.CL,JETS,JPEA.CL,JPM,LQDA,NVDA,RBOT,SDHA.CL,SUAS.CL,VOO
2023-02-06/2023-02-12,33592.44921875,2407.00732421875,201.14559936523438,13081.23046875,20.753814697265625,110.41000366210938,3777.990234375,491.6475524902344,36329.734375,11558.7255859375,11877.1728515625,1900.92236328125,45091.9765625,495.55670166015625,27342.6328125,11089.4453125,24063.78125,4668.63330078125,10109.2431640625,6438.7802734375,97.61000061035156,33.83651351928711,46.63390350341797,1358.5472412109375,422.3399963378906,10.766791343688965,94.33641052246094,309790.0,47930.0,84230.0,19.649999618530273,23680.0,134.7513885498047,6.869999885559082,21.251005172729492,93.5999984741211,27200.0,57720.0,365.4585266113281
2023-02-13/2023-02-19,32680.060546875,2398.5908203125,195.0662384033203,11601.8583984375,19.761709213256836,107.0999984741211,3872.440185546875,464.22015380859375,37074.9609375,11349.8330078125,11692.7236328125,1998.9185791015625,45078.94921875,504.32763671875,26554.216796875,10619.2529296875,23768.9296875,4307.474609375,9020.291015625,6366.4345703125,97.19999694824219,33.61778259277344,47.85303497314453,1410.078369140625,420.05999755859375,11.589404106140137,94.11695098876953,330140.0,50950.0,88710.0,19.899999618530273,24220.0,135.8979034423828,7.829999923706055,21.373926162719727,92.0999984741211,27360.0,59080.0,364.6789855957031
2023-02-20/2023-02-26,30689.396484375,2494.534423828125,173.1103057861328,10490.0888671875,19.216493606567383,107.0999984741211,3725.16455078125,472.283935546875,34457.35546875,11349.8330078125,11214.6826171875,1939.9208984375,45149.78515625,498.1879577636719,25115.560546875,9847.427734375,23778.439453125,4659.82470703125,8432.943359375,6273.99267578125,93.5,32.53364562988281,46.69905090332031,1400.708984375,410.6300048828125,10.681312561035156,88.90984344482422,323000.0,49770.0,82680.0,19.350000381469727,24190.0,134.64630126953125,7.480000019073486,23.270675659179688,84.0,27940.0,59460.0,354.9436950683594
2023-02-27/2023-03-05,30805.51953125,2482.752197265625,185.5800018310547,10023.86328125,20.54824447631836,107.0999984741211,3872.440185546875,480.9425048828125,33497.875,11254.33984375,11543.544921875,1992.9188232421875,42749.71484375,486.8736267089844,25847.08203125,9350.6201171875,23502.611328125,5280.83984375,9740.5419921875,6499.06884765625,94.9000015258789,32.4860954284668,48.7185173034668,1452.2401123046875,416.54998779296875,11.760233879089355,93.4186782836914,313480.0,47900.0,83410.0,20.1200008392334,23910.0,137.2545928955078,7.340000152587891,23.874279022216797,82.5,27850.0,58780.0,361.81390380859375
2023-03-06/2023-03-12,30274.673828125,2486.960205078125,205.10000610351562,10176.283203125,20.655500411987305,115.0,3773.853759765625,467.8759460449219,31206.310546875,11062.8544921875,11629.333984375,2299.90625,50481.3203125,490.2065734863281,24619.751953125,9297.9775390625,21781.052734375,4932.8955078125,9637.6484375,6751.94921875,90.7300033569336,28.97342300415039,44.986698150634766,1452.2401123046875,408.0899963378906,10.87911605834961,90.40613555908203,307750.0,48480.0,81260.0,19.15999984741211,23650.0,127.69088745117188,6.159999847412109,22.949888229370117,67.19999694824219,27490.0,57810.0,345.63714599609375
2023-03-13/2023-03-19,26044.513671875,2523.149169921875,193.2100067138672,10534.91796875,20.55718421936035,105.62999725341797,3755.88916015625,446.0458984375,30712.59375,10614.232421875,10571.2548828125,2289.906494140625,41686.8984375,456.0876770019531,22213.859375,8472.3359375,21876.166015625,4976.93896484375,8660.166015625,6671.89453125,98.94999694824219,26.62836265563965,41.18040466308594,1431.627685546875,407.4100036621094,10.159833908081055,101.3689956665039,296550.0,42900.0,83890.0,17.520000457763672,23400.0,120.20045471191406,7.21999979019165,25.712438583374023,71.69999694824219,27090.0,54950.0,350.70458984375
2023-03-20/2023-03-26,28201.0703125,2520.625,182.0,10077.658203125,20.55718421936035,104.7699966430664,3664.64111328125,438.54180908203125,34932.43359375,10618.2109375,10465.4482421875,2229.99951171875,41686.8984375,464.7708740234375,22197.603515625,8516.693359375,20925.02734375,5012.173828125,8857.376953125,6804.52880859375,98.12999725341797,25.977489471435547,40.119483947753906,1414.762939453125,409.1499938964844,10.34864616394043,105.1795654296875,310010.0,42590.0,88290.0,17.290000915527344,23670.0,119.34059143066406,6.849999904632568,26.765926361083984,57.0,27400.0,57460.0,354.2907409667969
2023-03-27/2023-04-02,29022.21484375,2539.981689453125,203.39999389648438,10292.8388671875,20.950450897216797,105.4800033569336,4042.963623046875,485.4028625488281,37680.44921875,10713.208984375,11166.06640625,2176.371337890625,44347.76171875,490.2065734863281,23717.54296875,8924.78515625,22922.416015625,5214.77490234375,9680.5205078125,6149.39697265625,103.29000091552734,27.374954223632812,43.63727951049805,1439.123046875,423.8800048828125,11.328665733337402,103.47378540039062,305610.0,42320.0,88000.0,18.6299991607666,23420.0,124.49982452392578,6.909999847412109,27.763439178466797,68.0999984741211,26810.0,56590.0,367.99072265625
2023-04-03/2023-04-09,30066.63671875,2600.577392578125,198.0,10400.4296875,21.66461944580078,108.66999816894531,3973.70068359375,461.18060302734375,37652.5078125,11240.4130859375,11456.80078125,2199.910400390625,49669.4921875,503.92852783203125,25023.60546875,9315.134765625,22075.904296875,5109.0703125,9774.83984375,6943.2783203125,102.05999755859375,26.647506713867188,42.67872619628906,1446.6185302734375,424.2300109863281,11.085907936096191,108.1521987915039,308410.0,42280.0,85100.0,18.1299991607666,23200.0,121.78644561767578,6.75,27.0237979888916,63.900001525878906,26890.0,56980.0,367.8733215332031
2023-04-10/2023-04-16,33362.890625,2676.32275390625,263.20001220703125,11655.6533203125,20.822465896606445,115.83000183105469,3944.354736328125,492.2215576171875,40360.11328125,11459.25390625,11975.35546875,2175.911376953125,54086.53515625,517.2599487304688,27029.861328125,10199.8935546875,21569.10546875,5272.328125,10395.0419921875,6767.44189453125,102.51000213623047,28.25554656982422,46.12206268310547,1503.8648681640625,429.1000061035156,11.25673770904541,108.60108947753906,297000.0,40390.0,82730.0,17.93000030517578,23200.0,133.58460998535156,6.760000228881836,26.74493408203125,63.29999923706055,26890.0,54950.0,370.8479919433594
