Date,AAPL,AMZN,BAC,BRK-B,C,CBU7.L,CENCOSUD.SN,CHILE.SN,CSPX.L,EIMI.L,F,FALABELLA.SN,GE,GEHC,GOOGL,IDSE.CL,IJPA.CL,INRA.CL,ISAC.CL,IUFS.CL,IUHC.CL,IUIT.CL,JETS,JNJ,JPEA.CL,JPM,LQDA,META,NKE,NU,NVDA,PBR,PFE,RBOT,SDHA.CL,SDIA.CL,SGLD.L,SUAS.CL,UBER,VOO
2023-01-25,140.38372802734375,97.18000030517578,32.97786331176758,311.8999938964844,47.828025817871094,128.11500549316406,1290.147216796875,77.00020599365234,411.4599914550781,31.309999465942383,10.817538261413574,1911.15869140625,63.86191940307617,68.49992370605469,94.87606811523438,513650.0,208470.0,135940.0,301800.0,45070.0,46430.0,73810.0,20.469999313354492,159.4690399169922,23550.0,132.23406982421875,6.940000057220459,140.96153259277344,123.0901870727539,4.119999885559082,19.3089542388916,7.9953131675720215,39.969425201416016,80.69999694824219,26190.0,25130.0,186.7899932861328,54950.0,30.290000915527344,357.35675048828125
2023-01-26,142.4618682861328,99.22000122070312,33.42236328125,310.95001220703125,48.09526824951172,127.91000366210938,1324.6759033203125,77.10780334472656,416.6000061035156,31.639999389648438,10.927489280700684,1891.98046875,64.13858032226562,69.00837707519531,97.16775512695312,513650.0,208470.0,135940.0,301800.0,46330.0,46430.0,77800.0,20.440000534057617,158.88575744628906,23550.0,133.051513671875,6.760000228881836,146.73947143554688,123.77931213378906,4.230000019073486,19.78760528564453,7.814362049102783,39.60248565673828,79.80000305175781,26190.0,24630.0,186.00999450683594,55050.0,30.020000457763672,361.17437744140625
2023-01-27,144.41136169433594,102.23999786376953,33.52638626098633,309.1700134277344,47.79115676879883,127.83000183105469,1365.40673828125,77.41264343261719,421.2699890136719,31.6200008392334,11.22351360321045,1843.289794921875,65.79065704345703,69.86573028564453,99.01107788085938,513650.0,208470.0,135940.0,301800.0,47040.0,46430.0,77800.0,20.299999237060547,158.26487731933594,23550.0,133.3746795654297,6.679999828338623,151.16256713867188,123.77931213378906,4.369999885559082,20.35019874572754,7.566394329071045,39.190799713134766,84.30000305175781,26190.0,24630.0,186.5800018310547,55050.0,30.360000610351562,362.2040100097656
2023-01-30,141.51187133789062,100.55000305175781,33.384525299072266,307.3299865722656,47.689788818359375,127.5199966430664,1354.2982177734375,77.51126861572266,418.760009765625,31.149999618530273,10.902116775512695,1853.2266845703125,63.89353942871094,71.2813949584961,96.58985900878906,501700.0,207780.0,131120.0,300200.0,46190.0,46330.0,77190.0,19.989999771118164,152.40391540527344,23080.0,132.24356079101562,6.289999961853027,146.50038146972656,122.65343475341797,4.400000095367432,19.148073196411133,7.5596923828125,38.97600173950195,80.4000015258789,26250.0,24660.0,185.82000732421875,55240.0,29.6299991607666,357.67730712890625
2023-01-31,142.78843688964844,103.12999725341797,33.55475997924805,311.5199890136719,48.1229133605957,127.77999877929688,1323.750244140625,78.00440216064453,418.7300109863281,30.93000030517578,11.426501274108887,1838.3212890625,63.616878509521484,69.30744171142578,98.48298645019531,501700.0,207780.0,131120.0,300200.0,47720.0,46330.0,77190.0,20.200000762939453,153.7398223876953,23080.0,133.03248596191406,6.599999904632568,148.40310668945312,123.58519744873047,4.650000095367432,19.522802352905273,7.7741522789001465,39.52193832397461,81.30000305175781,26250.0,24660.0,186.1699981689453,55240.0,30.93000030517578,362.7576904296875
2023-02-01,143.9165496826172,105.1500015258789,33.97087860107422,310.57000732421875,48.058406829833984,128.0,1314.4931640625,78.36304473876953,420.9700012207031,31.15999984741211,11.663317680358887,1813.4791259765625,65.07133483886719,69.79596710205078,100.06725311279297,501700.0,207780.0,131120.0,300200.0,47720.0,46330.0,77190.0,20.399999618530273,155.1509552001953,23080.0,132.6807861328125,6.389999866485596,152.5373077392578,125.69135284423828,4.769999980926514,20.927778244018555,7.653518199920654,39.35189437866211,89.69999694824219,26250.0,24660.0,186.36000061035156,55240.0,31.489999771118164,366.73077392578125
2023-02-02,149.25051879882812,112.91000366210938,34.16948699951172,311.8599853515625,48.1229133605957,128.9199981689453,1333.007080078125,78.63201904296875,433.2799987792969,31.260000228881836,12.111581802368164,1838.3212890625,66.35189819335938,70.43399810791016,107.35083770751953,501700.0,207780.0,138610.0,300200.0,47720.0,46330.0,83720.0,21.040000915527344,155.7342071533203,23080.0,132.06297302246094,7.010000228881836,188.05165100097656,125.26432037353516,4.920000076293945,21.693220138549805,7.318424701690674,39.68303298950195,90.30000305175781,26250.0,24660.0,185.4600067138672,58080.0,33.04999923706055,371.9859924316406
2023-02-03,152.8922119140625,103.38999938964844,34.45321273803711,308.510009765625,47.41564178466797,127.80999755859375,1340.412841796875,77.92371368408203,432.8699951171875,30.8799991607666,11.189680099487305,1828.88134765625,64.7867660522461,70.33431243896484,104.40153503417969,501700.0,207780.0,138610.0,300200.0,47720.0,46330.0,83500.0,20.739999771118164,154.8592987060547,23080.0,134.10655212402344,7.130000114440918,185.82017517089844,123.85696411132812,4.900000095367432,21.08466339111328,7.264811038970947,39.43244552612305,88.5,26250.0,25610.0,180.3800048828125,58080.0,33.09000015258789,368.01300048828125
2023-02-06,150.15101623535156,102.18000030517578,34.39646911621094,308.42999267578125,47.33188247680664,127.01000213623047,1314.4931640625,77.55609893798828,426.7200012207031,30.270000457763672,11.113560676574707,1842.9915771484375,65.09504699707031,71.64030456542969,102.52832794189453,519740.0,209670.0,133430.0,309790.0,47930.0,47510.0,84700.0,20.600000381469727,153.683349609375,23680.0,134.8954620361328,6.900000095367432,185.3519744873047,122.03225708007812,4.900000095367432,21.073671340942383,7.499375343322754,39.1639518737793,94.19999694824219,27200.0,25310.0,180.5749969482422,57720.0,33.900001525878906,365.8856201171875
2023-02-07,153.04063415527344,102.11000061035156,34.77476119995117,312.9700012207031,47.58315658569336,126.94000244140625,1314.4931640625,77.73542022705078,426.1199951171875,30.280000686645508,11.375753402709961,1848.2581787109375,64.90534210205078,71.41100311279297,107.2511978149414,519740.0,209670.0,133430.0,309790.0,47930.0,47510.0,86050.0,20.600000381469727,153.72096252441406,23680.0,136.5398406982422,6.96999979019165,190.89080810546875,121.6440200805664,4.909999847412109,22.156885147094727,7.405550003051758,39.011810302734375,94.19999694824219,27200.0,25310.0,181.3300018310547,57720.0,34.900001525878906,370.6065979003906
