Date,BCOLOMBIA.CL,CEMARGOS.CL,CONCONCRET.CL,CORFICOLCF.CL,ENKA.CL,ETB.CL,EXITO.CL,GRUPOAVAL.CL,GRUPOSURA.CL,HCOLSEL.CL,ICOLCAP.CL,MINEROS.CL,NUTRESA.CL,PFAVAL.CL,PFBCOLOM.CL,PFCORFICOL.CL,PFDAVVNDA.CL,PFGRUPOARG.CL,PFGRUPSURA.CL,TERPEL.CL,AMZN,BAC,C,CENCOSUD.SN,CSPX.L,F,GOOGL,ISAC.CL,IUFS.CL,IUIT.CL,JETS,JPEA.CL,JPM,LQDA,NVDA,RBOT,SDHA.CL,SUAS.CL,VOO
2023-01-23/2023-01-29,34919.55859375,2735.235107421875,217.51007080078125,14695.0888671875,20.73594093322754,110.36000061035156,3589.0908203125,467.9110107421875,37121.53515625,11868.216796875,12247.564453125,2249.908203125,39389.1640625,499.0650939941406,28277.357421875,12154.0322265625,24054.26953125,4862.42529296875,10700.876953125,6591.5107421875,102.23999786376953,33.712886810302734,47.79116439819336,1381.970458984375,421.2699890136719,11.223512649536133,99.12455749511719,301800.0,47040.0,77800.0,20.299999237060547,23550.0,134.06350708007812,6.679999828338623,20.351600646972656,84.30000305175781,26190.0,55050.0,363.36334228515625
2023-01-30/2023-02-05,34637.5546875,2693.15478515625,210.87451171875,13520.55859375,21.156021118164062,118.69999694824219,3636.315673828125,473.1585693359375,36329.734375,11650.4521484375,11902.89453125,2149.912353515625,39787.046875,508.7131042480469,28277.357421875,11533.0234375,24349.123046875,4800.76416015625,10297.8798828125,6511.1259765625,103.38999938964844,34.644866943359375,46.95255661010742,1356.6734619140625,432.8699951171875,11.189682006835938,104.52118682861328,300200.0,47720.0,83500.0,20.739999771118164,23080.0,134.79916381835938,7.130000114440918,21.086118698120117,88.5,26250.0,58080.0,369.1909484863281
2023-02-06/2023-02-12,33592.44921875,2407.007080078125,201.14559936523438,13081.23046875,20.753816604614258,110.41000366210938,3777.990478515625,491.6475830078125,36329.734375,11558.7255859375,11877.1728515625,1900.92236328125,45091.97265625,495.5567626953125,27342.63671875,11089.4453125,24063.78125,4668.63232421875,10109.2421875,6438.7802734375,97.61000061035156,33.83651351928711,46.6339111328125,1358.547119140625,422.3399963378906,10.766791343688965,94.3364028930664,309790.0,47930.0,84230.0,19.649999618530273,23680.0,134.75135803222656,6.869999885559082,21.251008987426758,93.5999984741211,27200.0,57720.0,365.4585266113281
2023-02-13/2023-02-19,32680.060546875,2398.591064453125,195.0662384033203,11601.8583984375,19.761707305908203,107.0999984741211,3872.440185546875,464.22003173828125,37074.95703125,11349.8330078125,11692.7236328125,1998.9185791015625,45078.9453125,504.3276062011719,26554.21875,10619.2529296875,23768.9296875,4307.47509765625,9020.2919921875,6366.4345703125,97.19999694824219,33.61778259277344,47.85303497314453,1410.0782470703125,420.05999755859375,11.589405059814453,94.11695098876953,330140.0,50950.0,88710.0,19.899999618530273,24220.0,135.8979034423828,7.829999923706055,21.37392807006836,92.0999984741211,27360.0,59080.0,364.678955078125
2023-02-20/2023-02-26,30689.3984375,2494.53466796875,173.1103057861328,10490.0888671875,19.216495513916016,107.0999984741211,3725.164794921875,472.28387451171875,34457.3515625,11349.8330078125,11214.681640625,1939.9208984375,45149.80078125,498.1880187988281,25115.55859375,9847.427734375,23778.439453125,4659.82470703125,8432.943359375,6273.99267578125,93.5,32.53364562988281,46.69905471801758,1400.7091064453125,410.6300048828125,10.681312561035156,88.90984344482422,323000.0,49770.0,82680.0,19.350000381469727,24190.0,134.64627075195312,7.480000019073486,23.270675659179688,84.0,27940.0,59460.0,354.9436950683594
2023-02-27/2023-03-05,30805.51953125,2482.751953125,185.5800018310547,10023.86328125,20.54824447631836,107.0999984741211,3872.440185546875,480.94244384765625,33497.87109375,11254.33984375,11543.5439453125,1992.9188232421875,42749.71484375,486.8735046386719,25847.080078125,9350.6201171875,23502.611328125,5280.84033203125,9740.54296875,6499.068359375,94.9000015258789,32.4860954284668,48.71852493286133,1452.2401123046875,416.54998779296875,11.760234832763672,93.4186782836914,313480.0,47900.0,83410.0,20.1200008392334,23910.0,137.25457763671875,7.340000152587891,23.874279022216797,82.5,27850.0,58780.0,361.8139343261719
2023-03-06/2023-03-12,30274.673828125,2486.960205078125,205.10000610351562,10176.2822265625,20.655500411987305,115.0,3773.853515625,467.87591552734375,31206.310546875,11062.8544921875,11629.333984375,2299.90625,50481.33203125,490.2065124511719,24619.75390625,9297.9765625,21781.05078125,4932.89453125,9637.6494140625,6751.94921875,90.7300033569336,28.97342300415039,44.9866943359375,1452.2401123046875,408.0899963378906,10.87911605834961,90.40613555908203,307750.0,48480.0,81260.0,19.15999984741211,23650.0,127.69087219238281,6.159999847412109,22.94989013671875,67.19999694824219,27490.0,57810.0,345.63714599609375
2023-03-13/2023-03-19,26044.513671875,2523.149658203125,193.2100067138672,10534.91796875,20.55718421936035,105.62999725341797,3755.88916015625,446.04595947265625,30712.59765625,10614.232421875,10571.255859375,2289.906494140625,41686.89453125,456.087646484375,22213.859375,8472.3369140625,21876.166015625,4976.93896484375,8660.166015625,6671.89501953125,98.94999694824219,26.62836265563965,41.18041229248047,1431.627685546875,407.4100036621094,10.159833908081055,101.3689956665039,296550.0,42900.0,83890.0,17.520000457763672,23400.0,120.20044708251953,7.21999979019165,25.71244239807129,71.69999694824219,27090.0,54950.0,350.7045593261719
2023-03-20/2023-03-26,28201.068359375,2520.624267578125,182.0,10077.658203125,20.55718421936035,104.7699966430664,3664.641357421875,438.5418395996094,34932.43359375,10618.2109375,10465.44921875,2229.99951171875,41686.89453125,464.7708740234375,22197.603515625,8516.693359375,20925.02734375,5012.173828125,8857.3779296875,6804.52880859375,98.12999725341797,25.977489471435547,40.11949157714844,1414.762939453125,409.1499938964844,10.34864616394043,105.1795654296875,310010.0,42590.0,88290.0,17.290000915527344,23670.0,119.3405990600586,6.849999904632568,26.76592254638672,57.0,27400.0,57460.0,354.290771484375
2023-03-27/2023-04-02,29022.21875,2539.981689453125,203.39999389648438,10292.8388671875,20.95045280456543,105.4800033569336,4042.9638671875,485.4028625488281,37680.453125,10713.208984375,11166.0673828125,2176.371337890625,44347.765625,490.2065124511719,23717.54296875,8924.7861328125,22922.416015625,5214.7744140625,9680.521484375,6149.39697265625,103.29000091552734,27.374954223632812,43.63727569580078,1439.123046875,423.8800048828125,11.328665733337402,103.47378540039062,305610.0,42320.0,88000.0,18.6299991607666,23420.0,124.49980163574219,6.909999847412109,27.763437271118164,68.0999984741211,26810.0,56590.0,367.9907531738281
